t,z_s
3.955078125000000000e-01,-3.934081629351652253e-03
3.964843750000000000e-01,-3.996018440830121157e-03
3.974609375000000000e-01,-4.054031901395653038e-03
3.984375000000000000e-01,-4.108068217259241289e-03
3.994140625000000000e-01,-4.158077378763338876e-03
4.003906250000000000e-01,-4.204013206434160065e-03
4.013671875000000000e-01,-4.245833393432892240e-03
4.023437500000000000e-01,-4.283499544366231419e-03
4.033203125000000000e-01,-4.316977210420079418e-03
4.042968750000000000e-01,-4.346235920783681449e-03
4.052734375000000000e-01,-4.371249210334974926e-03
4.062500000000000000e-01,-4.391994643561426999e-03
4.072265625000000000e-01,-4.408453834694171965e-03
4.082031250000000000e-01,-4.420612464036808957e-03
4.091796875000000000e-01,-4.428460290473812920e-03
4.101562500000000000e-01,-4.431991160147066323e-03
4.111328125000000000e-01,-4.431203011292648118e-03
4.121093750000000000e-01,-4.426097875233599502e-03
4.130859375000000000e-01,-4.416681873528009034e-03
4.140625000000000000e-01,-4.402965211275354854e-03
4.150390625000000000e-01,-4.384962166587662129e-03
4.160156250000000000e-01,-4.362691076235624722e-03
4.169921875000000000e-01,-4.336174317483440510e-03
4.179687500000000000e-01,-4.305438286129670278e-03
4.189453125000000000e-01,-4.270513370775018414e-03
4.199218750000000000e-01,-4.231433923341444692e-03
4.208984375000000000e-01,-4.188238225870564817e-03
4.218750000000000000e-01,-4.140968453632766846e-03
4.228515625000000000e-01,-4.089670634581950466e-03
4.238281250000000000e-01,-4.034394605194218698e-03
4.248046875000000000e-01,-3.975193962732241279e-03
4.257812500000000000e-01,-3.912126013980377764e-03
4.267578125000000000e-01,-3.845251720498950917e-03
4.277343750000000000e-01,-3.774635640449330431e-03
4.287109375000000000e-01,-3.700345867044706714e-03
4.296875000000000000e-01,-3.622453963684601607e-03
4.306640625000000000e-01,-3.541034895834274578e-03
4.316406250000000000e-01,-3.456166959713243003e-03
4.326171875000000000e-01,-3.367931707860119701e-03
4.335937500000000000e-01,-3.276413871643915621e-03
4.345703125000000000e-01,-3.181701280794807865e-03
4.355468750000000000e-01,-3.083884780030183952e-03
4.365234375000000000e-01,-2.983058142854488025e-03
4.375000000000000000e-01,-2.879317982614052786e-03
4.384765625000000000e-01,-2.772763660890673488e-03
4.394531250000000000e-01,-2.663497193320182692e-03
4.404296875000000000e-01,-2.551623152924694000e-03
4.414062500000000000e-01,-2.437248571049519235e-03
4.423828125000000000e-01,-2.320482835998010848e-03
4.433593750000000000e-01,-2.201437589459739799e-03
4.443359375000000000e-01,-2.080226620829489503e-03
4.453125000000000000e-01,-1.956965759516524506e-03
4.462890625000000000e-01,-1.831772765345479007e-03
4.472656250000000000e-01,-1.704767217151994564e-03
4.482421875000000000e-01,-1.576070399677938260e-03
4.492187500000000000e-01,-1.445805188872616208e-03
4.501953125000000000e-01,-1.314095935707899551e-03
4.511718750000000000e-01,-1.181068348616568951e-03
4.521484375000000000e-01,-1.046849374664473795e-03
4.531250000000000000e-01,-9.115670795682895202e-04
4.541015625000000000e-01,-7.753505266717361250e-04
4.550781250000000000e-01,-6.383296549940974595e-04
4.560546875000000000e-01,-5.006351564657472936e-04
4.570312500000000000e-01,-3.623983524661488734e-04
4.580078125000000000e-01,-2.237510697804468080e-04
4.589843750000000000e-01,-8.482551609131168315e-05
4.599609375000000000e-01,5.424584487686857351e-05
4.609375000000000000e-01,1.933304184440339467e-04
4.619140625000000000e-01,3.322956041731052381e-04
4.628906250000000000e-01,4.710089210635136272e-04
4.638671875000000000e-01,6.093381326218842448e-04
4.648437500000000000e-01,7.471513716922710806e-04
4.658203125000000000e-01,8.843172649285699913e-04
4.667968750000000000e-01,1.020705056792076690e-03
4.677734375000000000e-01,1.156184732957606055e-03
4.687500000000000000e-01,1.290627143012151304e-03
4.697265625000000000e-01,1.423904122330726203e-03
4.707031250000000000e-01,1.555888613014814754e-03
4.716796875000000000e-01,1.686454783779733815e-03
4.726562500000000000e-01,1.815478148678209428e-03
4.736328125000000000e-01,1.942835684548561894e-03
4.746093750000000000e-01,2.068405947077098760e-03
4.755859375000000000e-01,2.192069185365620471e-03
4.765625000000000000e-01,2.313707454896352274e-03
4.775390625000000000e-01,2.433204728788126645e-03
4.785156250000000000e-01,2.550447007239246919e-03
4.794921875000000000e-01,2.665322425054175368e-03
4.804687500000000000e-01,2.777721357152988964e-03
4.814453125000000000e-01,2.887536521964449536e-03
4.824218750000000000e-01,2.994663082605523823e-03
4.833984375000000000e-01,3.098998745752275415e-03
4.843750000000000000e-01,3.200443858109223733e-03
4.853515625000000000e-01,3.298901500386523800e-03
4.863281250000000000e-01,3.394277578696669375e-03
4.873046875000000000e-01,3.486480913284845887e-03
4.882812500000000000e-01,3.575423324509575777e-03
4.892578125000000000e-01,3.661019715992878433e-03
4.902343750000000000e-01,3.743188154861839222e-03
4.912109375000000000e-01,3.821849949006209980e-03
4.921875000000000000e-01,3.896929721279479217e-03
4.931640625000000000e-01,3.968355480573719507e-03
4.941406250000000000e-01,4.036058689701466431e-03
4.951171875000000000e-01,4.099974330020885772e-03
4.960937500000000000e-01,4.160040962743542271e-03
4.970703125000000000e-01,4.216200786867221363e-03
4.980468750000000000e-01,4.268399693679408163e-03
4.990234375000000000e-01,4.316587317780277121e-03
5.000000000000000000e-01,4.360717084577296621e-03
5.009765625000000000e-01,4.400746254206894768e-03
5.019531250000000000e-01,4.436635961841973660e-03
5.029296875000000000e-01,4.468351254347470783e-03
5.039062500000000000e-01,4.495861123249602666e-03
5.048828125000000000e-01,4.519138533987878022e-03
5.058593750000000000e-01,4.538160451422488216e-03
5.068359375000000000e-01,4.552907861573179255e-03
5.078125000000000000e-01,4.563365789569275195e-03
5.087890625000000000e-01,4.569523313794072138e-03
5.097656250000000000e-01,4.571373576210407616e-03
5.107421875000000000e-01,4.568913788857801965e-03
